,Sentence,Sentiment
2755,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",1
3975,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1
5570,"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",1
5025,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1
3097,"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .",1
3275,"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",1
2055,"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",1
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,0
5270,VNH generates annual net sales of about 5 mln eur and employs 21 people .,1
1665,"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .",0
4722,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",1
1727,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,0
4362,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,2
5011,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2
2219,Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,1
2546,"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",1
394,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",2
5421,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .,1
413,"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",1
270,"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",1
5238,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,1
2162,"However , the proportion of the paid standing orders grew in 2009 .",2
1234,$SPY  still wants higher I think.,2
4495,The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,1
313,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",1
2739,"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",1
1103,Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,2
1265,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2
4009,"The company has the poser , who wants to impress people with the latest handset .",1
3801,The first group of customers to be trained will be paint-shop owners and their assistants .,1
1917,Ruling sets lower limit on potential fine for BP,0
1613,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",0
722,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",2
2334,A comprehensive range of cut-to-length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .,1
2011,"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",1
290,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,1
4042,Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,0
4169,"Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas , which a member of Merko , the largest construction group in the Baltic countries .",1
787,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",2
2590,"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone .",1
4567,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,2
1662,Its 168 asset management experts manage assets worth over EUR 35 billion .,1
4779,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,0
1447,"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",1
4553,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,2
1880,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0
180,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1
3163,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,0
1873,Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,1
2443,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",2
2407,"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",1
1285,Finnlines said that the deal is part of its strategy to focus on its core businesses .,1
3134,The company expects sales revenue of RMB8 .0 billion in 2009 .,1
3347,"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",1
3376,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",0
2780,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",0
5726,Arm slammed by handset sales outlook,0
5197,The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,1
1697,The number of magazine and newspaper readers remained unchanged .,1
3731,EPS grew to 0.04 eur from 0.02 eur .,2
370,Protalix has $ 42 million in cash and no sales .,1
3829,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",1
5633,"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",1
439,The prices of stainless steel also rose in Europe .,1
5617,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",2
216,"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",1
5825,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,2
660,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,2
4000,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",2
3416,"Operating profit decreased to nearly EUR 1.7 mn , however .",1
1146,"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",1
2773,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",2
1173,Exports grew 16.5 percent to 19.1 million liters .,2
4545,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",1
5658,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",1
1245,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,0
1534,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,2
3822,Warren Buffett defends Berkshire Hathaway's conglomerate structure,2
4936,"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",1
5333,Other potential clients include public administration organizations investing in utility networks and services .,1
1074,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,1
3570,"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",0
5686,"Following the move , Stora Enso holding in NewPage will remain unchanged .",1
5478,"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",1
5813,The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,1
398,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0
5535,Johnson Matthey raises prospect of investor payout,2
2454,"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",1
809,$PYPL great vol flow trade here.. Love this company long time.,2
3135,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,2
875,"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",1
182,The company expects its net sales for the whole 2009 to be at previous year levels .,1
3817,"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide .",2
1378,"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",0
2224,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",1
2326,"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",1
4331,"This truly takes efficiency to new heights , '' Mr. Metso adds .",2
3539,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0
2097,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",1
4392,"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",1
3854,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",0
5040,"`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .",2
4992,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0
130,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",1
1594,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),0
3184,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,2
3178,CompaniesHoward Davies appointment as RBS director delayed,1
2387,Intertek Group announces strategic update outlining its plan,1
1982,Two other sites will be included later on .,1
3999,"BHP Billiton slashes dividend, posts $5.67 billion net loss",0
1024,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,2
3917,Bilfinger Industrial Services win Â£100m BP contract extension,2
1051,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",0
891,TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,2
3843,"Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .",2
3310,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .,1
2612,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",2
2497,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2
446,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',1
4997,"The contract value amounts to about EUR11m , the company added .",1
112,$GOOGL is a short below 740 into the upper BB and is overbought,0
5200,#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,2
5667,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",0
21,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",2
2872,"The segment has an annual revenue of approximately EUR400m , the company said .",1
4147,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,1
373,"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",1
2065,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",1
635,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,0
3887,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,1
2799,"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",2
5236,"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",1
4268,No more waste-burning facilities should be built .,1
3386,"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",1
3800,"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",1
3316,"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",1
4929,The agreement expands Tekla Structures ' scope of use to bridge design .,2
68,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,2
2794,Orion Pharma 's operating profit increased by 42.5 % from 2004 .,2
3257,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,1
921,It 's not .,1
555,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",0
825,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",0
1997,The expansion aims to attract new customers both in Finland and abroad .,2
2155,No financial details were revealed .,1
353,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",1
3065,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",1
4649,The project also implies an underground parking lot for 56 vehicles .,1
1776,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",1
2456,Net sales fell by 5 % from the previous accounting period .,0
4840,"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",1
2911,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",2
230,"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .",1
1488,"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0
3535,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,0
4807,The value of the total investment is about EUR 600mn .,1
5367,"According to Finnish financial services group Sampo 's CEO , Bj+Ârn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history .",1
2194,The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,1
3380,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",2
5569,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,0
3369,"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",1
5598,Strategic and operational business information is objectively reported .,1
564,Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,1
3536,"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",0
845,"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",2
4429,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",1
5322,The costs of the new ropax vessels are 30 % lower than those of the present ones .,2
4490,"FinancialWire tm is a fully independent , proprietary news wire service .",1
3656,The contract value amounts to EUR 2.4 million .,1
1415,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",0
1988,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",1
3813,"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",1
349,Full-year operating result for 2008 was 3.6 million negative .,0
710,Persimmon share price climbs on 23% rise in full-year revenue,2
2638,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,1
4866,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,2
2136,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",1
2841,SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,0
4852,Other shareholder entitlements became effective today .,1
1533,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,1
4820,"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",1
3217,"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",1
2565,"BAWAG - Is to issue a benchmark , covered deal .",1
5582,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2
4319,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,2
4663,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,1
3492,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",2
5071,"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",1
3812,The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,1
106,Aberdeen Asset Management Gains Foothold In China,2
3611,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",1
168,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2
1304,The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,1
5275,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,2
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,0
4943,Shell challenges Exxon dominance with 47 billion-pound bid for BG,0
3651,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2
1248,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,2
4475,A quick `` one-stop-shop '' to understand the company .,1
5198,Underground parking facilities will also be built on the basement floor .,1
2792,"$AAPL double bottom could be in, keep in mind",2
4167,Together they generate Aspo 's goodwill .,1
4135,"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville .",1
3772,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,2
3677,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0
1411,Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,1
5692,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,1
3875,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",2
5787,"The remaining amount will be funded through debt , the Danish bank said .",1
4399,"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .",1
1014,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,1
4055,"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",1
3085,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",0
297,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,0
3260,"Music is provided by all major international and regional labels including Universal Music Group , Sony Music Entertainment , Warner Music , EMI Music , Rotana , Mazzika , Melody Music , Platinum Records , and leading content aggregator The Orchard , as well as thousands of independent labels .",1
4019,$RDC Rowan Expands Share Repurchase Program to $150 million,2
890,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",1
5005,Return on investment was 16.6 % compared to 15.8 % in 2004 .,2
1400,$FB gettin in the buy zone soon ;),2
1968,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,2
2570,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,2
3330,"They are responsible for their own operations , customer relationships , and the development of these .",1
1934,The value of the order is USD 2.2 mn .,1
715,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",0
5337,The markets expect Heineken to sell Hartwall as a whole or in parts .,1
5459,"The order also covers design services , hardware , software licences , as well as maintenance services over six years .",1
2329,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",1
330,"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",1
2757,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",1
5475,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,2
1440,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",1
4198,"Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .",1
2439,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",1
2270,The value of the three-year contract is estimated at EUR40m .,1
4570,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,2
1197,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",1
3836,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,1
1955,The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',1
175,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,1
3605,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",2
537,Morrisons finance chief to fill gap as CEO leaves early,0
3953,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",0
3037,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",0
61,The firm generated sales of 187 mln eur in 2005 .,1
170,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,2
5704,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",1
2980,Barclays appoints JPMorgan's Paul Compton as new COO,1
2879,"Previously , the company anticipated its operating profit to improve over the same period .",2
4104,"In addition a reduction of nine persons will be made through pension or other arrangements , the company added .",1
5352,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",0
1388,J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,1
734,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2
976,Viking Line has canceled some services .,0
2939,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,1
5810,$GOOG resistance turned support?  It,2
154,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,2
3706,All depends on financing .,1
2367,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",1
5605,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,0
2804,GSK and Novartis complete deals to reshape both drugmakers,2
5804,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,0
973,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,2
4976,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,2
5416,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",2
4854,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",2
2863,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,1
4643,"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",1
4925,"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",2
2700,"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",1
1852,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",2
2331,"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",1
1787,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2
971,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",1
871,The ECB can mainly target inflation .,1
4315,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,2
5827,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",0
2647,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",0
1324,"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",1
2730,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",2
5093,$NFLX +3% of the lows,2
628,It estimates the operating profit to further improve from the third quarter .,2
1673,"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",1
1168,"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",1
4865,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,0
5332,The new location is n't the only change Wellmont has in store for its air transport service .,1
1541,The company distributes Hiab 's products as well as other products .,1
1343,The reduction notice applied to 17 people .,1
4182,Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2
